"Nom","Adresse","Telephone","Lien","Entreprise"
"KOESIO CORPORATE IT","514 Rue Jean Bertin 45770 Saran France","0238439090","https://koesio.com/entite/corporate-it/","WithSecure"
"Iliane Haute Savoie","26 Avenue des Prés Verts 74200 Thonon-les-bains France","04 50 71 96 57","https://www.tilt-info.com/","WithSecure"
"KOESIO Corporate IT Caen","6 RUE KARL PROBST 14053 Caen cedex 4 France","231464167","","WithSecure"
"KOESIO CORPORATE IT BOURGES","2 Rue I et Frédéric Joliot Curie 18230 Saint-doulchard France","","","WithSecure"
"KOESIO CORPORATE IT LYON","76 RUE PAUL KRUGER 69100 Villeurbanne France","04 72 91 23 21","","WithSecure"
"KOESIO CORPORATE IT ORLEANS-Do not use","514 Rue Jean Bertin 45770 Saran France","","","WithSecure"
"Iliane","49 rue Bobby Sands - ZAC de la Lorie 44800 Saint-herblain France","298077761","","WithSecure"
"KOESIO CENTRE EST","10 avenue de la Fontaine Sainte Marguerite 89000 Auxerre France","","","WithSecure"
"KOESIO Corporate IT Le Havre","120 Rue Jules Siegfried 76600 Le havre France","0610355466","","WithSecure"
"KOESIO Corporate IT Rouen","ZA de la Bretèque 87 rue Louis Blériot 76235 Bois guillaume cedex France","02 35 59 27 27","","WithSecure"
"Koesio Corporate IT Limoges","56 RUE PAUL CLAUDEL 87000 Limoges France","+33555060607","http://www.quadria.fr/","WithSecure"
"Koesio Corporate IT Montpellier","45 Rue Joseph Alois Schumpeter 34470 Perols France","06 73 24 50 82","https://www.quadria.fr/","WithSecure"
"Bcns","4 Allée du trait d&#039;union Lieusaint 77127 France","01 81 14 07 93","bcns.fr","BitDefender"
"AXIANS TOULOUSE","Green Park - Bât 4 - 298 allée du Lac Labege 31670 France","+33561003909","www.axians.fr","BitDefender"
"Axians","4 allée de Vincennes 54500 Nancy Nancy 45444 France","","","BitDefender"
"Improveus","176, Avenue Charles de Gaulle Neuilly Sur Seine Cedex 92522 France","0645427292","www.improveus.fr","BitDefender"
"STARWAREMICRO","43 Rue de montlhery Saint Michel Sur Orge 91240 France","+33180856081","http://www.starwaremicro.fr","BitDefender"
"Resiliences","Rue du Parmelan, 4 Epagny Metz Tessy 74370 France","04 50 52 61 39","","BitDefender"
"AXIANS RENNES","6 rue du bas village Cesson Sevigne 35510 France","0223456048","www.axians.com","BitDefender"
"AXIANS RHONE ALPES","3 Chemin du Jubin Dardilly 69570 France","0478643100","","BitDefender"
"EPTIMUM","49 Rue de la Vanne Montrouge 92120 France","+33177700590","www.eptimum-pro.com","BitDefender"
"Axians Bordeaux","Allée Pierre Gilles de Gennes no. 6 Mérignac 33700 France","0778351202","","BitDefender"
"AXIANS NANTES","Rue de l&#039;Europe no. 24 La Chapelle Sur Erdre 44240 France","+33251132678","WWW;APX;FR","BitDefender"
"DOCUMENT STORE","29, rue de Lisbonne Paris 75008 France","01 56 59 89 89","www.documentstore.fr","BitDefender"
"CONTY 61","Rue Lazare Carnot no. 42 Alençonalençon 61000 France","+33233811771","http://www.conty-informatique.com/","BitDefender"
"Duotech","-   - France","+33 6 12 09 14 86","","BitDefender"
"Bechtle","Rue Geiller de Kaysersberg Illkirch Graffenstaden 67400 France","0369148082","www.bechtle.fr","BitDefender"
"COMSOFT","400 avenue de Roumanille - Green Side - 1 Bat 2 Biot 06410 France","378 317 721","http://www.comsoft-direct.fr/","BitDefender"
"MBEPRO","Rue de Paris no. 39 Joinville Le Pont 94340 France","+33611514891","","BitDefender"
"Actual systemes","8 avenue neil amstrong Merignac 33704 France","+33557923796","http://www.actualsystemes.fr","BitDefender"
"EURO COMPUTER PERFORMANCE","29 Avenue Jean Moulin Stains 93240 France","+33 1 49 98 98 80","http://www.europ-computer.com","BitDefender"
"IT - MED","31 BD CHARLES MORETTI, IMMEUBLE AUSSIBURO Marseille 13014 France","+33610520636","www.it-med.fr","BitDefender"
"HEXAGRAM","ZAE les Granges  - 35 Rue du Docteur Fuvel Meximieux 01800 France","+330437478690","www.hexagram.eu","BitDefender"
"ECONOCOM","1 Rue de Terre neuve Les Ulis 91942 France","+33169186392","www.econocom.com","BitDefender"
"alto engineering","62 bd du chaudron Saint Clotilde 97490 France","+33262979997","www.alto-engineering.com","BitDefender"
"ACTIVIUM INFORMATION DESIGN","32 rue Fernand Pelloutier Clichy 92110 France","0144644447","www.na.com","BitDefender"
"ADMX INFORMATIQUE","3 rue Jacquard Besancon 25000 France","+33381470404","www.afodis-admx.fr","BitDefender"
"ADEO INFORMATIQUE - XEFI","  10 rue des aubépines  Besançon DOUBS25000 France ","+33 381885454","","Sophos"
"AGORAVITA","  1 RUE PAUL MESPLE  TOULOUSE Haute Garonne31100 France ","+3305 62 48 03 06","www.agoravita.com/","Sophos"
"APSSI Group","  2 rue de la lagune  PONT SAINT MARTIN Pays de la loire44860 France ","+33 02 53 46 18 00","www.monreseau-it.fr/revendeur/aps-rhone-alp","Sophos"
"APRILE","  164 B Rue D Aguesseau  BOULOGNE BILLANCOURT Hauts De Seine92100 France ","0180875370","","Sophos"
"ACESI GROUP","  8 B Rue Icare  Entzheim Bas Rhin67960 France ","+33 03 90 64 80 00","","Sophos"
"AMCI - XEFI","  2507 AVENUE DE L EUROPE  Rillieux la pape Rhône69140 France ","0472837580","AMCI.FR","Sophos"
"APRIAS SARL","  Parc Innolin - Immeuble C1  15 Allée des Acacias 15 Allée des Acacias Merignac Gironde33700 France ","(056) 770-2910","","Sophos"
"ALIORSYS","  31 B Rue Du Progres  Montreuil Seine Saint Denis93100 France ","(014) 818-1900","www.aliorsys.com","Sophos"
"AIXAGON","  5 MONTEE DE BAUME AUBERGE NEUVE  PEYPIN Bouches Du Rhone13124 France ","+33 04 42 36 82 90","","Sophos"
"AGORAVITA","  1 RUE PAUL MESPLÉ  TOULOUSE 31100 France ","05.62.48.03.06","www.agoravita.com/","Sophos"
"CAPLASER NARBONNE","  ZAC Bonne Source – 30 rue Ernest Cognacq  NARBONNE AUDE FRANCE11100 France ","0662906731","","Sophos"
"ARP SAS","  8 rue de la Renaissance Bât D  ANTONY 92160 France ","+33964444540","www.arp.fr","Sophos"
"BECHTLE COMSOFT SAS","  30 rue des Vergers - Le Xenium CS 11028  MOLSHEIM CEDEX Paris67129 France ","+33 01 40 09 67 53","","Sophos"
"CAPLASER AGEN","  1840 Avenue de Colmar  Agen 47000 France ","0553480609","www.caplaser.fr","Sophos"
"ATHEO INGENIERIE","  10 RUE FLORA TRISTAN STREET  Strasbourg Bas Rhin67200 France ","(038) 899-0280","","Sophos"
"BRAIN NETWORKS","  294 AVENUE GEORGES CLEMENCEAU  NANTERRE Hauts-de-Seine92000 France ","09.72.50.51.19","www.brain-networks.fr","Sophos"
"EDCI","  2  RUE DE LA CHAMBRE AUX DENIERS  ANGERS 49000 France ","+33 02 41 77 12 22","","Sophos"
"CAPLASER TOULOUSE","  50 rue Jean BART Batiment 5 Batiment 5 LABEGE Haute Garonne31670 France ","0534609999","","Sophos"
"DYNAMIPS","  10 boulevard du Zénith  SAINT-HERBLAIN CEDEX Loire Atlantique44800 France ","+33 2 72 64 16 20","www.monreseau-it.fr/revendeur/dynamips-4339","Sophos"
"DYNAMIPS 49","  1 Rue René Hersen CA du bocage CA du bocage Avrillé Maine-et-Loire49240 France ","0272641631","","Sophos"
"DYNAMIPS 85","  12 Impasse Bernard LyotLA ROCHE SUR YON Ille-et-Vilaine85000 France ","02 51 36 06 66","www.dynamips.com/","Sophos"
"DFM","  13  rue Séjourné  Creteil Val De Marne94000 France ","01 87 12 25 25","","Sophos"
"CAPLASER TARBES","  Zone Artisanale Bastillac Sud  TARBES 65000 France ","0562343007","www.abci.fr/identite/axe-informatique.html","Sophos"
"FLOW GROUP","  3 rue HALIFAX  JOINVILLE LE PONT 94340 France ","0175438023","www.flowgroup.fr","Sophos"
"FLOW LINE TECHNOLOGIES","  LES ALLEES DU PARC 655 ALLEE DES PARCS BAT D  ST PRIEST Rhone69800 France ","+33 04 72 14 92 50","","Sophos"
"EXAPROBE - ECONOCOM","21  avenue Descartes Le Plessis-Robinson Ile-de-France 92350","01 56 72 17 00","www.exaprobe.com","Kapersky"
"Koesio","1  Rue des Rochettes SAINT ETIENNE Rhone-Alpes 42000","04 77 91 44 88","http://www.cpro.fr","Kapersky"
"Absys services","229 rue Alphonse Beau de Rochas PAE de Mercorent Béziers Languedoc-Roussillon 34500","04 67 11 01 02","www.absys-services.fr","Kapersky"
"CHEOPS TECHNOLOGY","Immeuble Baltimore  10B rue de Laponie LA CHAPELLE SUR ERDRE Pays de la Loire 44240","02 51 13 23 33","cheops.fr","Kapersky"
"SOPRA STERIA BU CYBERSECURITE","11 avenue du maréchal Juin Meudon-La-Forêt Cedex Midi-Pyrenees 92366","03 28 38 76 45","soprasteria.com","Kapersky"
"ATEMIS","11 rue de Bretagne La Chapelle sur Erdre Pays de la Loire 44240","02.51.89.61.89","www.atemis.eu","Kapersky"
"AURA IT","32 rue des Acacias PALAISEAU null 91120","","www.aura-it.fr","Kapersky"
"DEFIS","26 chemin du Solarium  Gradignan Aquitaine 33170","05.57.12.30.00","http://defisgroup.fr","Kapersky"
"SCALAIR","2 bis  Avenue Antoine Pinay HEM null 59510","03 20 68 21 21","scalair.fr","Kapersky"
"HEAUX SOLUTIONS","1 Rue Joseph Fourier Chartres null 28000","0234401173","http://www.heaux.fr","Kapersky"
"CAP Informatique","4 rue Marie Marvingt ZAC CROIX BLANDIN Reims null 51100","03 26 47 88 71","www.capinformatique.com","Kapersky"
"JCD GROUPE","193 Rue du Général Metman METZ null 57070","03 87 18 49 20","https://www.jcd-groupe.fr","Kapersky"
"SCC SA","96 RUE DES TROIS FONTANOT NANTERRE CEDEX null 92744","141913333","http://france.scc.com/","Kapersky"
"ACSEND","7 rue Hélène BOUCHER  Espace Cybèle 2 Plérin Bretagne 22190","02 96 58 00 10","https://www.acsend.fr","Kapersky"
"IDOM TECHNOLOGIES","18 rue Albert Lougnon Village Entreprise - Bâtiment Nord SAINTE CLOTILDE null 97490","262 (0)262 500 400","www.idom.fr","Kapersky"
"OMR INFOGERANCE","Z.A. des Grésillières Rue Jules Verne ST SEBASTIEN SUR LOIRE Pays de la Loire 44234","0826044044","https://vousfaciliter-it.fr","Kapersky"
"ABELIUM","44 RUE DU GRAND JARDIN SAINT-MALO null 35400","02 99 19 73 53","abelium.fr","Kapersky"
"Resadia","35 rue Victor Hugo Pantin Ile-de-France 93500","06 52 82 73 89","www.resadia.com","Kapersky"
"IROSS","4 AV DE LA GARE SATHONAY CAMP rhone 69580","478081086","iross-lyon.com","Kapersky"
"DAMI","parc champagne Tournon Sur Rhone Rhone-Alpes 07300","047-507-0407","www.dami.com","Kapersky"
"BRAIN NETWORKS","294 avenue Georges Clémenceau Nanterre Ile-de-France 92000","09 72 50 51 19","www.brain-networks.fr","Kapersky"
"BUROINFO","11B rue Chritian Huygens BESANCON Franche-Comte 25000","+33.381418683","www.buroinfo.fr","Kapersky"
"PROTEGO","2 rue de la renaissance Batiment A 3ème étage ANTONY Ile-de-France 92160","+33 1 46 66 36 10","WWW.PROTEGO.NET","Kapersky"
"BECHTLE COMSOFT","30 RUE DES VERGERS  LE XENIUM MOLSHEIM null 67120","+33 (0)4 97 21 58 56","comsoft.fr","Kapersky"
"AKOS","8  avenue Descartes - Parc d'activité de Ragon TREILLIERES Pays de la Loire 44119","02 40 50 77 11","www.akos.fr","Kapersky"
"Accenture Plc FR","Paris France 75013","33 156526870","https://www.accenture.com/fr-fr/security-index","CheckPoint"
"Capgemini Technology Services S.A.S","Fournisseurs France 69791","null","http://www.capgemini.com/fr-fr/","CheckPoint"
"Fujitsu - France",". France ","null","http://null","CheckPoint"
"Enterprise Services France SAS","Les Ulis Cedex France 91947","33141862405","http://www.dxc.technology/","CheckPoint"
"Arrow ECS France","Courbevoie Cedex France 92411","33149985000","http://www.arrowecs.fr","CheckPoint"
"EDGEMINDS","Paris - La Defense France 92081","33672847175","https://edgeminds.com/","CheckPoint"
"Axians","NANTERRE France 92000","33146674300","http://www.axians.fr","CheckPoint"
"NOVAHE","Saint-Cloud France 92210","+33 1 58 75 7...","https://www.novahe.fr/","CheckPoint"
"Manhattan","Saint PRIEST France 69800","33472146470","http://www.manhattan-sa.net","CheckPoint"
"Kyndryl France","Bois-Colombes Cedex France 92275","800-426-4968","https://www.ibm.com/kyndryl","CheckPoint"
"INFINIGATE France","BOULOGNE BILLANCOURT France 92100","180730415","http://www.infinigate.fr","CheckPoint"
"Orange Cyberdefense","Rueil Malmaison France 92500","33164539500","https://orangecyberdefense.com/fr/securite","CheckPoint"
"AT&T France","Noisy Le Grand France 93881","33149314000","http://www.att.com","CheckPoint"
"EXELERYS FR","PARIS France 75017","183898144","https://www.exelerys.com","CheckPoint"
"CERIEL S.A.","Mont-Saint-Aignan France 76130","33235608909","http://www.ceriel.fr","CheckPoint"
"Sycomp","FOSTER CITY California USA 94404","6503128174","http://sycomp.com","CheckPoint"
"EXODATA","Paris France 75001","262 262 977 955","http://www.exodata.fr","CheckPoint"
"HPE - France","LES ULIS France 91940","null","http://null","CheckPoint"
"EXPERT LINE","LE KREMLIN BICETRE France 94270","33146770000","http://www.expert-line.com","CheckPoint"
"APIXIT","Courtaboeuf Cedex France 91952","01 64 86 97 97","http://www.apixit.fr","CheckPoint"
"infidis","Boulogne Billancourt France 92100","33155381610","http://www.infidis.com","CheckPoint"
"Computacenter NS SAS","Roissy CDG Cedex France 95943","33 1420 49595","http://www.computacenter.com","CheckPoint"
"Ibelem","Boulogne Billancourt France ","(012) 345-6789","http://www.itsibelem.com/en/","CheckPoint"
"NTT COM SECURITY","Bagneux France 92220","330155581750","https://www.nttsecurity.com/fr-fr","CheckPoint"
"Ecole Supérieure de","Paris France 75012","33156069046","http://www.esgi.fr","CheckPoint"
"BT France","Tour Ariane PUTEAUX HAUTS-DE-SEINE 92800 France"," +33 1 78 41 20 00","http://www.bt.com/","Fortinet"
"ANYWAY SOLUTION","40 RUE DE L EST BOULOGNE BILLANCOURT ILE-DE-FRANCE 92100 France"," +33141860078","http://www.axians.fr/","Fortinet"
"AXIANS C&S Caen (MASSELIN COMMUNICATION SAS)","6 rue alfred nobel IFS CALVADOS 14123 France"," +33231353020","http://www.axians.com/","Fortinet"
"AXIANS C&S Cherbourg","80 Avenue du Thivet Cherbourg En Cotentin MANCHE 50130 France"," +33.233015656","http://www.axians.com/","Fortinet"
"NTT Online France","CENTRE D AFFAIRES ANGLET PYRENEES-ATLANTIQUES 64600 France"," +33155581750","http://www.nttcomsecurity.com/","Fortinet"
"Transatel","49-51 Quai de Dion Bouton Puteaux HAUTS-DE-SEINE 92806 France"," +33.174957400","https://www.transatel.com/","Fortinet"
"AXIANS C&S Toulouse (Interact Systèmes Sud Ouest)","GREEN PARK BAT 4 – 298 ALLEE DU LAC LABEGE LANGUEDOC-ROUSSILLON-MIDI-PYRENEES 31681 France"," +33562718471","https://www.axians.fr/","Fortinet"
"NTT Com SEcurity","1 rue de l'egalite bagneux HAUTS-DE-SEINE 92220 France"," (062) 136-7472","http://www.nttcomsecurity.com/","Fortinet"
"Axians C&S Amiens (IPSICOM AMIENS)","287 rue Charles de Gaulle CAMON SOMME 80450 France"," +33 3 22 70 99 99","http://www.axians.com/","Fortinet"
"AXIANS C&S Rouen (Masselin Communication SAS)","595 Avenue Isaac Newton Saint Etienne du Rouvray SEINE MARITIME 76801 France"," +33 2 32 66 30 27","http://www.axians.com/","Fortinet"
"Hewlett Packard France","BATIMENT B4 ZAC DU CHENE PUTEAUX RHONE 92700 France"," +33 48032 0889","http://www.hpe.com/","Fortinet"
"AXIANS C&S LYON - Eretel"," Vénissieux RHONE 69200 France"," +33 4 37 85 14 14","http://www.axians.com/","Fortinet"
"APIXIT","Bâtiment ANNAPURNA 1 Avenue de l’Atlantique Les Ulis 91940 France"," +33 1 64 86 97 97","http://www.dci.fr/","Fortinet"
"DXC Technology","Tour Carpe Diem 31 Place Des Corolles CS 40075 PARIS La Défense Cedex ILE-DE-FRANCE 92098 France"," +33155707070","https://www.dxc.technology/","Fortinet"
"AXIANS C&S TOURS (SOLSTIS TOURS)","2 rue Paul Henri Spaak NOTRE DAME D'OE INDRE-ET-LOIRE 37390 France"," 0247885020","http://www.axians.com/","Fortinet"
"AXIANS C&S NICE - MARSEILLE- MPL (SYSTELCOM)","67 Montée de Saint Menet - Parc de la Buzine Bat D Marseille BOUCHES-DU-RHONE 13011 France"," 0491272770","http://www.axians.com/","Fortinet"
"Ingram Micro SAS","5/7 rue de Bouleaux Lesquins NORD 59810 France"," 0 826 464 726","https://fr-new.ingrammicro.com/","Fortinet"
"AXIANS Cloud Services Paris (BCS TECHNOLOGIES)","32 rue DelizyBatiment B - Hall 3 PANTIN SEINE-SAINT-DENIS 93500 France"," +33141831720","http://www.bcstechno.com/","Fortinet"
"ALLIACOM - AXIANS CYBERSECURITY PARIS","242 BUREAUX DE LA COLLINE 1 RUE ROYALE BAT C SAINT CLOUD HAUTS DE SEINE 92210 France"," +33.155389898","http://alliacom%20-%20axians%20cybersecurity%20paris/","Fortinet"
"EXCLUSIVE NETWORKS France","Arcs de Seine Boulogne-Billancourt HAUTS-DE-SEINE 92100 France"," + 33 1 41 31 53 04","http://www.exclusive-networks.com/","Fortinet"
"AXIANS Cloud Builder (APX Integration)","6/26 boulevard National La Garenne Colombes HAUTS-DE-SEINE 92250 France"," +33 1 41 31 92 92","http://www.axians.com/","Fortinet"
"AXIANS C&S NANCY-METZ (INTERACT SYSTEMES NANCY)","8 rue du bois de la Champelle VANDOEUVRE-LES-NANCY MEURTHE-ET-MOSELLE 54500 France"," +33355944004","http://www.axians.com/","Fortinet"
"Axians Cybersecurity Paris / Alliacom","Crisco Duo Sevres ILE-DE-FRANCE 92310 France"," +33155389898","http://axians%20cybersecurity%20paris%20/%20Alliacom","Fortinet"
"Axians cybersécurité","242 bureaux de la colline St cloud 92213 France"," +33 (0) 1 55 38 98 86","http://www.alliacom.com/","Fortinet"
"AXIANS C&S Nantes","31 rue Bobby Sands SAINT HERBLAIN LOIRE-ATLANTIQUE 44800 France"," +33223455296","http://www.axians.fr/","Fortinet"
